ID	landslide	x	y	elevation	slope	relprecip	profcurv	plancurv	aspect_sin	aspect_cos	canopy	treetype	treeheight	treenumber	groundwater	precip	max_precip_3h	deposit_thickness	bedrock2	landforms2	deposit2	LogFlow
447	1	188714.1186	6883232.225	873.8383447	36.362503	179.23586	1.830115	-1.940158367	-0.15245134	-0.988311	100	3	113	1711	1.6666666	118.4724	9.87486	2	2	0	1	3.68887945411394
452	1	153923.8836	6865608.563	759.3115576	39.881912	186.88692	0.66229534	-1.605956554	-0.70101315	0.71314836	59	3	85	866	1.3	76.600204	10.516772	1	2	0	5	5.48893772615669
453	1	153675.3549	6865340.4	840.9987207	44.365692	186.88692	-1.8966874	-0.890339732	-0.48064014	0.87691796	70	3	64	1261	1.3	76.600204	10.789718	1	2	1	5	4.12713438504509
454	1	144315.8259	6862174.251	885.9060376	41.581215	137.59412	-0.36344713	2.072422028	-0.3958331	-0.91832244	45	3	56	1879	1.2040817	67.036	9.052553	2	2	0	1	2.39789527279837
456	1	193246.3011	6882345.743	917.6606616	35.89493	194.94904	0.82190675	-2.564177275	-0.5873848	-0.80930775	96	3	112	1621	1.6590909	114.1125	10.117695	1	1	0	5	5.8406416573734
458	1	195834.6322	6882768.83	841.9038794	35.948345	196.47461	2.5944993	-3.131106138	-0.691244	-0.72262144	98	3	122	1587	1.6341463	108.0394	9.084314	3	1	0	1	5.94803498918065
460	1	184762.921	6878757.022	585.8867017	34.733963	182.28241	2.7878175	-2.196557522	-0.9998942	0.014545416	98	3	125	1435	1.68	112.0848	11.6993885	3	2	0	1	4.30406509320417
461	1	184727.6346	6878686.8	566.5648608	23.066952	182.28241	9.934032	0.353387684	-0.9922778	-0.124035515	87	3	118	2001	1.68	112.0848	11.6993885	3	2	0	1	4.18965474202643
462	1	185430.0189	6877489.58	592.0507227	26.708998	189.82326	-4.3876686	2.448630095	-0.7162647	-0.69782865	20	2	122	90	1.6666666	108.9038	11.150031	3	2	0	1	4.38202663467388
463	1	185486.969	6876848.849	664.3580933	30.1486	196.11174	-2.638696	2.247046232	0.78925824	0.61406136	81	3	102	1710	1.7333333	109.0988	10.602164	2	2	0	1	5.26269018890489
464	1	185670.6955	6876825.544	595.6892285	41.78219	196.11174	-3.2605777	3.190389156	0.6337202	0.7735623	78	3	137	935	1.7333333	109.0988	10.602164	3	2	0	1	7.01391547481053
465	1	185664.7303	6876854.605	583.4979761	38.461674	196.11174	0.50297886	-1.478603125	0.5041985	0.8635878	96	3	119	1349	1.7333333	109.0988	10.602164	3	2	0	1	6.25958146406492
466	1	185821.292	6876749.929	558.5980981	43.581905	196.11174	-4.0884423	-0.967016518	0.27230418	0.9622112	96	3	122	1702	1.7333333	109.0988	10.602164	3	2	0	1	9.73008609311673
467	1	186054.1008	6876883.365	550.9612183	48.56429	198.27689	-6.969491	-1.403358102	-0.12267021	-0.9924475	98	3	129	2079	1.6666666	106.342804	10.278843	3	2	0	1	6.3456363608286
468	1	186086.7122	6876872.878	553.3000757	39.217106	198.27689	-3.4639373	4.077459335	-0.025987409	-0.9996623	100	3	148	1790	1.6666666	106.342804	10.278843	3	2	0	1	8.36915711258883
