ID	landslide	x	y	elevation	slope	relprecip	profcurv	plancurv	aspect_sin	aspect_cos	groundwater	precip	max_precip_3h	deposit_thickness	bedrock2	landforms2	deposit2	LogFlow
577	0	53157.5	6727902.5	1174.004307	34.707268	89.19478	2.565747	-1.706889629	-0.77448845	0.632588	0.6758621	82.2085	5.8949847	1	4	0	5	3.29583686600433
578	0	147032.5	6906662.5	1488.542622	20.47592	192.68408	1.4911282	0.11140164	-0.9216754	0.387962	0.94623655	133.3477	7.363083	2	4	1	1	2.89037175789616
579	0	141482.5	6881347.5	547.3694556	27.84734	165.25507	-1.6721042	0.450971901	0.70515764	0.7090506	1.12	73.1518	9.787223	1	4	0	5	9.15196945864985
580	0	108667.5	6790167.5	430.2500415	25.108486	162.81087	8.926168	-7.647982597	0.64356697	0.7653898	1	99.4733	7.3398256	1	3	0	5	4.4188406077966
581	0	206267.5	6849377.5	1028.144531	37.798687	192.71735	1.1283458	-2.479427576	0.81769574	-0.5756507	1.4130435	182.6754	14.129249	2	4	1	1	2.99573227355399
582	0	225487.5	6712402.5	532.5037842	37.037937	156.1743	0.83172935	-5.248612404	0.99522877	0.09756868	1.4318181	164.73149	14.40388	1	4	1	5	3.2188758248682
583	0	240737.5	6721657.5	393.5011011	37.046078	155.29079	-2.5690975	-1.402403116	0.9939373	-0.10994815	1.5151515	143.9106	15.008773	2	4	1	1	4.31748811353631
584	0	204337.5	6855992.5	532.4065259	29.871754	195.15012	1.1694407	-3.177473307	-0.99923193	0.03918599	1.7647059	156.3588	11.385575	3	2	0	1	3.40119738166216
585	0	207917.5	6772627.5	560.3634326	30.99687	141.63373	1.0705284	-0.094081044	-0.47797582	-0.87837297	1.4666667	145.6405	16.419594	3	5	1	1	3.40119738166216
586	0	161002.5	6752217.5	761.2840625	28.477476	144.60086	-2.4907024	0.729912937	0.39756292	0.91757494	1.4857143	123.5665	8.666504	3	4	1	1	2.89037175789616
587	0	124827.5	6813717.5	1097.617642	27.404928	145.03651	-4.2021666	-0.348221093	0.24918659	-0.9684555	1.1166667	110.0883	9.621233	1	2	1	5	3.89182029811063
588	0	185517.5	6742807.5	1037.846123	29.272083	162.8321	13.510527	-3.089981079	0.46153083	-0.8871242	1.3137255	136.3627	9.772995	1	5	0	5	3.13549421592915
589	0	65442.5	6794102.5	727.010564	40.901363	106.39944	-0.89764893	0.288640141	0.57815444	0.8159273	0.8488372	61.019104	8.145841	1	4	1	5	4.0943445622221
590	0	145967.5	6803157.5	1307.005054	31.52859	160.29265	-9.47587	0.611903191	-0.87224185	-0.48907486	1.1587301	118.183205	8.966942	1	3	0	5	3.78418963391826
592	0	58942.5	6730477.5	611.0499072	38.460552	99.21085	1.5836854	-3.739361525	-0.90262496	0.4304279	0.71428573	79.8395	4.096519	1	4	0	5	6.64509096950564
